,Country,Assitance 2011,Assitance 2012,Assitance 2013,Assitance 2014,Assitance 2015,Assitance 2016,CO2 2011,CO2  2012,CO2  2013,CO2  2014,CO2  2015,CO2 2016,Employment 2011,Employment 2012,Employment 2013,Employment 2014,Employment 2015,Employment 2016,GDP 2011,GDP 2012,GDP 2013,GDP 2014,GDP 2015,GDP 2016
63,Gabon,69449996.95,68849998.47,87209999.08,111269996.6,98779998.78,41619998.93,4950.45,5056.79,5280.48,5324.48,5262.15,5320.82,10.30000019,10.35999966,10.40999985,10.47000027,10.52000046,10.59000015,15638.69,15356.19,15114.37,15370.98,14699.57,14286.25
64,"Gambia, The",135710006.7,138979995.7,112300003.1,100339996.3,113940002.4,91989997.86,447.37,454.71,432.71,513.38,524.38,531.72,16.09000015,15.90999985,15.72999954,15.63000011,15.47999954,15.34000015,2215.75,2199.79,2121.49,2027.03,2066.86,2068.74
65,Georgia,545059997.6,659190002.4,646309997.6,563760009.8,448929992.7,462739990.2,7990.39,8445.1,8203.08,8980.48,9798.22,10128.25,10.93999958,10.82999992,10.81999969,11.10000038,11.02000046,11.90999985,8360.3,9826.05,10611.77,11575.55,12089.17,12858.48
66,Germany,..,..,..,..,..,..,729810.01,738141.43,757961.57,720363.82,727045.09,727972.84,28.23999977,28.19000053,27.78000069,28.04999924,27.69000053,27.37999916,42541.53,43359.61,44993.89,47011.55,47609.78,50579.68
67,Ghana,1803869995,1799290039,1328170044,1123130005,1770479980,1318650024,11525.38,14862.35,14682.67,15265.72,16552.84,16670.18,13.97999954,14,14.06999969,16.20000076,18.69000053,19.12999916,3379.48,3781.87,5259.62,5454.14,5117.34,4890.02
68,Greece,0,0,0,0,0,0,79841.59,80050.61,69474.98,67527.81,65059.91,62434.34,17.69000053,16.54000092,15.56000042,14.97999954,14.93999958,15.25,26141.32,25284.46,26097.87,26838.46,26895.33,27826.15
69,Grenada,12029999.73,7659999.85,12529999.73,39709999.08,24100000.38,8579999.92,253.02,271.36,304.36,234.69,260.36,267.69,0,0,0,0,0,0,11115.71,11164.44,11887.58,13041.82,14152.42,15025.82
70,Guatemala,353570007.3,304890014.7,496600006.1,279839996.3,411290008.5,265450012.2,11554.72,11884.75,12918.84,13952.94,15834.11,16776.53,20.73999977,19.5,18.15999985,19.45999908,18.89999962,21.01000023,7025.67,7320.15,7446.59,7758.49,8194.44,8221.75
71,Guinea,202119995.1,633359985.4,467540008.5,563119995.1,538929992.7,567059997.6,2779.59,2581.57,2299.21,2383.55,2702.58,2995.94,5.429999828,5.449999809,5.489999771,5.53000021,5.590000153,5.639999866,1743.95,1795.45,1811.33,1804.54,1819.36,2078.64
72,Guinea-Bissau,120639999.4,80319999.69,105629997.3,110250000,95040000.92,196820007.3,245.69,253.02,256.69,271.36,278.69,293.36,8.859999657,8.840000153,8.819999695,8.779999733,8.720000267,8.710000038,1439.29,1355.32,1364.39,1378.23,1597.21,1746.75
